_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-9.7,GO:0006520,amino acid metabolic process,M1,1,0
1,-2.2,GO:0055086,nucleobase-containing small molecule metabolic process,M1,1,0
1,-4.4,GO:0044057,regulation of system process,M1,1,0
1,-2.1,GO:0060216,definitive hemopoiesis,M1,1,0
1,-2.4,GO:0048008,platelet-derived growth factor receptor signaling pathway,M1,1,0
1,-3.2,GO:0002705,positive regulation of leukocyte mediated immunity,M1,1,0
1,-5.8,GO:0002791,regulation of peptide secretion,M1,1,0
1,-2.7,GO:0046879,hormone secretion,M1,1,0
1,-2.1,GO:0051238,sequestering of metal ion,M1,1,0
1,-4.7,GO:0070661,leukocyte proliferation,M1,1,0
1,-2.9,GO:0090026,positive regulation of monocyte chemotaxis,M1,1,0
1,-3.1,GO:0060369,positive regulation of Fc receptor mediated stimulatory signaling pathway,M1,1,0
1,-3.4,GO:0051098,regulation of binding,M1,1,0
1,-10,GO:0006631,fatty acid metabolic process,M1,1,0
1,-5.2,GO:0001952,regulation of cell-matrix adhesion,M1,1,0
1,-4,GO:0006911,"phagocytosis, engulfment",M1,1,0
1,-2.2,GO:0033003,regulation of mast cell activation,M1,1,0
1,-2.3,GO:0052548,regulation of endopeptidase activity,M1,1,0
1,-2.2,GO:0043304,regulation of mast cell degranulation,M1,1,0
1,-3.2,GO:0002260,lymphocyte homeostasis,M1,1,0
1,-4,GO:0035150,regulation of tube size,M1,1,0
1,-3.6,GO:0035567,non-canonical Wnt signaling pathway,M1,1,0
1,-2.7,GO:0070633,transepithelial transport,M1,1,0
1,-2.5,GO:0051701,biological process involved in interaction with host,M1,1,0
1,-2,GO:0060412,ventricular septum morphogenesis,M1,1,0
1,-2.1,GO:0007588,excretion,M1,1,0
1,-2.2,GO:2000647,negative regulation of stem cell proliferation,M1,1,0
1,-3.1,GO:0051347,positive regulation of transferase activity,M1,1,0
1,-2.1,GO:0045229,external encapsulating structure organization,M1,1,0
1,-7,GO:0043254,regulation of protein-containing complex assembly,M1,1,0
1,-3,GO:0045428,regulation of nitric oxide biosynthetic process,M1,1,0
1,-2.4,GO:0015697,quaternary ammonium group transport,M1,1,0
1,-2.6,GO:0032689,negative regulation of type II interferon production,M1,1,0
1,-4.2,GO:0038093,Fc receptor signaling pathway,M1,1,0
1,-3.3,GO:0030224,monocyte differentiation,M1,1,0
1,-2.6,GO:1904141,positive regulation of microglial cell migration,M1,1,0
1,-5.7,GO:0032102,negative regulation of response to external stimulus,M1,1,0
1,-2.9,GO:1905806,regulation of synapse pruning,M1,1,0
1,-3.1,GO:0045137,development of primary sexual characteristics,M1,1,0
1,-7.6,GO:0009063,amino acid catabolic process,M1,1,0
1,-3.1,GO:0031341,regulation of cell killing,M1,1,0
